cinema_name, movie_house, movie_name, schedule, duration
SM City Sta. Mesa Cinema 7,SM City Sta. Mesa,Ang Dalawang Mrs. Reyes,1:30 PM| 4:05 PM| 6:40 PM| 9:15 PM,1 hr 54 min
SM City Sta. Mesa Cinema 8,SM City Sta. Mesa,The Greatest Showman,1:15 PM| 3:50 PM| 6:25 PM| 9:00 PM,2 hrs 32 min
SM City Sta. Mesa Cinema 9,SM City Sta. Mesa,Maze Runner: The Death Cure,11:30 AM| 2:45 PM| 6:00 PM| 9:15 PM,1 hr 52 min
SM City Sta. Mesa Cinema 10,SM City Sta. Mesa,Insidious: The Last Key,1:10 PM| 3:40 PM,2 hrs 09 min
SM City Sta. Mesa Cinema 10,SM City Sta. Mesa,Jumanji: Welcome to the Jungle,6:10 PM| 9:00 PM,
TriNoma Mall TriNoma Cinema 1,TriNoma Mall,Fifty Shades Freed,12:01 AM,1 hr 58 min
TriNoma Mall TriNoma Cinema 1,TriNoma Mall,Meet Me In St. Gallen,12:55 PM| 3:10 PM| 5:25 PM| 7:40 PM| 9:55 PM,1 hr 34 min
TriNoma Mall TriNoma Cinema 2,TriNoma Mall,Meet Me In St. Gallen,12:55 PM| 3:10 PM| 5:25 PM| 7:40 PM| 9:55 PM,1 hr 34 min
TriNoma Mall TriNoma Cinema 3,TriNoma Mall,The Greatest Showman,12:20 PM| 2:55 PM| 5:30 PM| 8:05 PM| 10:40 PM,1 hr 54 min
TriNoma Mall TriNoma Cinema 4,TriNoma Mall,Along with the Gods: The Two Worlds,12:55 PM| 3:55 PM| 6:55 PM| 9:55 PM,2 hrs 20 min
TriNoma Mall TriNoma Cinema 5,TriNoma Mall,Samson,12:25 PM| 2:55 PM| 5:25 PM| 7:55 PM| 10:25 PM,2 hrs
TriNoma Mall TriNoma Cinema 5,TriNoma Mall,"I,Tonya",2:30 PM| 7:05 PM,2 hrs
TriNoma Mall TriNoma Cinema 6,TriNoma Mall,"I,Tonya",2:30 PM| 7:05 PM,2 hrs
TriNoma Mall TriNoma Cinema 7,TriNoma Mall,Fifty Shades Freed,11:45 AM| 2:25 PM| 5:05 PM| 7:45 PM| 10:25 PM,1 hr 58 min
U.P. Town Center Cinema 1,U.P. Town Center,The Greatest Showman,4:20 PM| 9:00 PM,1 hr 54 min
U.P. Town Center Cinema 1,U.P. Town Center,Fifty Shades Freed,2:00 PM| 6:40 PM,1 hr 58 min
U.P. Town Center Cinema 2,U.P. Town Center,Fifty Shades Freed,2:00 PM| 6:40 PM,1 hr 58 min
U.P. Town Center Cinema 2,U.P. Town Center,The Greatest Showman,6:45 PM,1 hr 54 min
U.P. Town Center Cinema 3,U.P. Town Center,The Greatest Showman,6:45 PM,1 hr 54 min
U.P. Town Center Cinema 4,U.P. Town Center,Along with the Gods: The Two Worlds,11:45 AM| 2:50 PM| 5:55 PM| 9:00 PM,2 hrs 20 min
Cinema '76 ,Cinema '76,Sana Dati,12:00 PM,1 hr 40 min
Cinema '76 ,Cinema '76,I Love You. Thank you.,10:15 PM,1 hr 35 min
Cinema '76 ,Cinema '76,Sakaling Hindi Makarating,2:00 PM,1 hr 35 min
Cinema '76 ,Cinema '76,Ang Kwento Nating Dalawa,8:15 PM,2 hrs 20 min
Cinema '76 ,Cinema '76,Sleepless,4:00 PM,
Cinema '76 ,Cinema '76,"I'm Drunk, I Love You.",6:00 PM,
Santolan Town Plaza Power Plant Cinema 1,Santolan Town Plaza,The Greatest Showman,2:00 PM| 5:00 PM| 7:30 PM,1 hr 54 min
Santolan Town Plaza Power Plant Cinema 2,Santolan Town Plaza,Fifty Shades Freed,3:20 PM| 5:35 PM| 8:00 PM,1 hr 58 min
Santolan Town Plaza Power Plant Cinema 3,Santolan Town Plaza,"I,Tonya",3:00 PM| 6:00 PM,2 hrs
Santolan Town Plaza Power Plant Cinema 4,Santolan Town Plaza,Meet Me In St. Gallen,3:40 PM| 7:00 PM,1 hr 34 min
Bonifacio High Street Cinema 1 (ATMOS),Bonifacio High Street,The Greatest Showman,2:00 PM| 7:00 PM,1 hr 54 min
Bonifacio High Street Cinema 1 (ATMOS),Bonifacio High Street,Fifty Shades Freed,4:30 PM| 9:30 PM,1 hr 58 min
Bonifacio High Street Cinema 2 (ATMOS),Bonifacio High Street,Fifty Shades Freed,4:30 PM| 9:30 PM,1 hr 58 min
Bonifacio High Street Cinema 3,Bonifacio High Street,Samson,2:35 PM| 5:05 PM| 7:40 PM| 10:15 PM,2 hrs
Bonifacio High Street Cinema 4,Bonifacio High Street,Along with the Gods: The Two Worlds,1:35 PM| 4:20 PM| 7:10 PM| 10:00 PM,2 hrs 20 min
Market! Market! Market Market Cinema 1,Market! Market!,Fifty Shades Freed,1:30 PM| 4:00 PM| 6:30 PM| 9:00 PM,1 hr 58 min
Market! Market! Market Market Cinema 2,Market! Market!,"I,Tonya",2:25 PM| 7:00 PM,2 hrs
Market! Market! Market Market Cinema 2,Market! Market!,On Wings of Eagles,12:20 PM| 4:55 PM| 9:30 PM,1 hr 35 min
Market! Market! Market Market Cinema 3,Market! Market!,On Wings of Eagles,12:20 PM| 4:55 PM| 9:30 PM,1 hr 35 min
Market! Market! Market Market Cinema 4,Market! Market!,Along with the Gods: The Two Worlds,1:00 PM| 3:50 PM| 6:40 PM| 9:30 PM,2 hrs 20 min
Market! Market! Market Market Cinema 5,Market! Market!,Maze Runner: The Death Cure,12:30 PM| 3:30 PM| 6:30 PM| 9:30 PM,2 hrs 32 min
Market! Market! Market Market Cinema 6,Market! Market!,Meet Me In St. Gallen,12:40 PM| 2:45 PM| 4:50 PM| 6:55 PM| 9:00 PM,1 hr 34 min
Market! Market! Market Market Cinema 7,Market! Market!,Samson,1:40 PM| 4:10 PM| 6:40 PM| 9:10 PM,2 hrs
SM Aura Premier Cinema 1,SM Aura Premier,The Greatest Showman,2:45 PM| 5:10 PM| 7:40 PM| 10:00 PM,1 hr 54 min
SM Aura Premier Cinema 2,SM Aura Premier,Meet Me In St. Gallen,2:40 PM| 4:50 PM| 7:00 PM| 9:10 PM,1 hr 34 min
SM Aura Premier Director's Club 1,SM Aura Premier,"I,Tonya",1:00 PM| 4:00 PM| 7:00 PM| 10:00 PM,2 hrs
SM Aura Premier Director's Club 2,SM Aura Premier,Along with the Gods: The Two Worlds,12:45 PM| 3:35 PM| 6:25 PM| 9:15 PM,2 hrs 20 min
SM Aura Premier IMAX,SM Aura Premier,The Greatest Showman,4:30 PM| 10:00 PM,1 hr 54 min
SM Aura Premier IMAX,SM Aura Premier,Maze Runner: The Death Cure,1:15 PM| 7:00 PM,2 hrs 32 min
Uptown Mall Cinema 1,Uptown Mall,Fifty Shades Freed,10:45 AM| 1:15 PM| 3:45 PM| 6:15 PM| 8:45 PM| 11:15 PM,1 hr 58 min
Uptown Mall Cinema 2,Uptown Mall,The Greatest Showman,11:25 AM| 1:50 PM| 4:15 PM| 6:40 PM| 9:05 PM| 11:30 PM,1 hr 54 min
Uptown Mall Cinema 3,Uptown Mall,Fifty Shades Freed,12:00 PM| 2:30 PM| 5:00 PM| 7:30 PM| 10:00 PM,1 hr 58 min
Uptown Mall Cinema 4,Uptown Mall,Fifty Shades Freed,11:30 AM| 2:00 PM| 4:30 PM| 7:00 PM| 9:30 PM,1 hr 58 min
Uptown Mall VIP Cinema,Uptown Mall,Fifty Shades Freed,11:00 AM| 1:30 PM| 4:00 PM| 6:30 PM| 9:00 PM| 11:30 PM,1 hr 58 min
Venice Grand Canal Mall Venice Cineplex Cinema 1,Venice Grand Canal Mall,Meet Me In St. Gallen,11:50 AM| 2:00 PM| 4:10 PM| 6:20 PM| 8:30 PM| 10:40 PM,1 hr 34 min
Venice Grand Canal Mall Venice Cineplex Cinema 2,Venice Grand Canal Mall,The Greatest Showman,12:15 PM| 2:25 PM| 4:45 PM| 7:05 PM| 9:25 PM,1 hr 54 min
Venice Grand Canal Mall Venice Cineplex Cinema 3,Venice Grand Canal Mall,Fifty Shades Freed,11:10 AM| 1:35 PM| 4:00 PM| 6:25 PM| 8:50 PM| 11:15 PM,1 hr 58 min
Venice Grand Canal Mall Venice Cineplex VIP Cinema,Venice Grand Canal Mall,Fifty Shades Freed,12:00 PM| 2:40 PM| 5:20 PM| 8:00 PM| 10:45 PM,1 hr 58 min
Venice Grand Canal Mall Venice Cineplex Cinema 5,Venice Grand Canal Mall,Fifty Shades Freed,11:30 AM| 2:10 PM| 4:50 PM| 7:30 PM| 10:20 PM,1 hr 58 min
Vista Mall Taguig VIP Cinema 1,Vista Mall Taguig,Fifty Shades Freed,12:00 PM| 2:20 PM| 4:40 PM| 7:20 PM| 9:40 PM,1 hr 58 min
Vista Mall Taguig Cinema 2,Vista Mall Taguig,Along with the Gods: The Two Worlds,1:35 PM| 6:15 PM| 10:55 PM,2 hrs 20 min
Vista Mall Taguig Cinema 2,Vista Mall Taguig,Meet Me In St. Gallen,11:30 AM| 4:15 PM| 9:00 PM,1 hr 34 min
Vista Mall Taguig Cinema 3,Vista Mall Taguig,Fifty Shades Freed,11:00 AM| 1:20 PM| 3:40 PM| 6:00 PM| 8:20 PM| 10:40 PM,1 hr 58 min
One Mall Valenzuela One Mall Sky Theater Cinema 1,One Mall Valenzuela,Meet Me In St. Gallen,2:00 PM| 4:10 PM| 6:20 PM| 8:30 PM,1 hr 34 min
One Mall Valenzuela One Mall Sky Theater Cinema 2,One Mall Valenzuela,Samson,12:45 PM| 3:20 PM| 5:55 PM| 8:30 PM,2 hrs
One Mall Valenzuela One Mall Sky Theater Cinema 3,One Mall Valenzuela,Fifty Shades Freed,12:30 PM| 3:10 PM| 5:50 PM| 8:30 PM,1 hr 58 min
SM Valenzuela Cinema 1,SM Valenzuela,Meet Me In St. Gallen,2:00 PM| 4:20 PM| 6:40 PM| 9:00 PM,1 hr 34 min
SM Valenzuela Cinema 2,SM Valenzuela,Maze Runner: The Death Cure,2:30 PM| 5:40 PM| 8:50 PM,2 hrs 32 min
SM Valenzuela Cinema 3,SM Valenzuela,Along with the Gods: The Two Worlds,3:00 PM| 5:55 PM| 8:50 PM,2 hrs 20 min
SM Valenzuela Cinema 4,SM Valenzuela,Samson,1:15 PM| 3:50 PM| 6:25 PM| 9:00 PM,2 hrs
